close,date,high,low,open,quoteVolume,volume,weightedAverage
8.13e-05,2017-07-14 00:00:00,8.156e-05,8.114e-05,8.144e-05,43403.9204434,3.53168904,8.136e-05
8.135e-05,2017-07-14 00:05:00,8.149e-05,8.125e-05,8.131e-05,79216.1944235,6.44465224,8.135e-05
8.135e-05,2017-07-14 00:10:00,8.151e-05,8.131e-05,8.132e-05,113751.35735,9.26141412,8.141e-05
8.224e-05,2017-07-14 00:15:00,8.224e-05,8.133e-05,8.133e-05,198936.575838,16.27911979,8.183e-05
8.207e-05,2017-07-14 00:20:00,8.224e-05,8.148e-05,8.213e-05,113034.233084,9.25162452,8.184e-05
8.204e-05,2017-07-14 00:25:00,8.224e-05,8.195e-05,8.2e-05,34010.4665723,2.79041646,8.204e-05
8.185e-05,2017-07-14 00:30:00,8.21e-05,8.145e-05,8.203e-05,97733.9187996,7.99615838,8.181e-05
8.148e-05,2017-07-14 00:35:00,8.204e-05,8.1e-05,8.159e-05,177932.922934,14.4690751,8.131e-05
8.084e-05,2017-07-14 00:40:00,8.135e-05,8.084e-05,8.134e-05,52238.7320851,4.23091791,8.099e-05
8.085e-05,2017-07-14 00:45:00,8.124e-05,8.077e-05,8.081e-05,187665.870054,15.18165168,8.089e-05
8.065e-05,2017-07-14 00:50:00,8.085e-05,8.064e-05,8.084e-05,171901.634976,13.88226508,8.075e-05
8.037e-05,2017-07-14 00:55:00,8.105e-05,8.036e-05,8.064e-05,265001.304395,21.35924117,8.06e-05
8.1e-05,2017-07-14 01:00:00,8.102e-05,8.037e-05,8.037e-05,110116.500986,8.87811447,8.062e-05
8.079e-05,2017-07-14 01:05:00,8.103e-05,8.051e-05,8.072e-05,90937.7482874,7.34303378,8.074e-05
8.073e-05,2017-07-14 01:10:00,8.089e-05,8.06e-05,8.079e-05,14420.3753706,1.16383815,8.07e-05
8.059e-05,2017-07-14 01:15:00,8.073e-05,8.053e-05,8.072e-05,12025.2317523,0.97015239,8.067e-05
8.082e-05,2017-07-14 01:20:00,8.103e-05,8.052e-05,8.059e-05,193869.878365,15.64533249,8.07e-05
8.048e-05,2017-07-14 01:25:00,8.082e-05,8.036e-05,8.081e-05,187168.181688,15.06421275,8.048e-05
8.037e-05,2017-07-14 01:30:00,8.059e-05,8.037e-05,8.053e-05,172412.503324,13.86993127,8.044e-05
8.009e-05,2017-07-14 01:35:00,8.046e-05,7.98e-05,8.036e-05,501689.52178,40.22686434,8.018e-05
8e-05,2017-07-14 01:40:00,8.027e-05,7.982e-05,8e-05,109897.867252,8.79619614,8.003e-05
8e-05,2017-07-14 01:45:00,8.033e-05,7.993e-05,7.993e-05,563637.211414,45.15658392,8.011e-05
8.003e-05,2017-07-14 01:50:00,8.035e-05,7.972e-05,8.011e-05,813596.280789,65.1119561,8.002e-05
8e-05,2017-07-14 01:55:00,8.06e-05,7.999e-05,8.004e-05,211085.83389,16.95369673,8.031e-05
8.028e-05,2017-07-14 02:00:00,8.097e-05,7.987e-05,8.002e-05,234047.635542,18.84538008,8.051e-05
8.131e-05,2017-07-14 02:05:00,8.148e-05,8.013e-05,8.06e-05,747156.797852,60.52713379,8.1e-05
8.223e-05,2017-07-14 02:10:00,8.263e-05,8.102e-05,8.129e-05,980849.193159,80.41752694,8.198e-05
8.193e-05,2017-07-14 02:15:00,8.275e-05,8.142e-05,8.21e-05,537498.270573,44.16366708,8.216e-05
8.122e-05,2017-07-14 02:20:00,8.193e-05,8.116e-05,8.181e-05,198687.468056,16.16892136,8.137e-05
8.063e-05,2017-07-14 02:25:00,8.159e-05,8.018e-05,8.121e-05,650150.390264,52.30331174,8.044e-05
8.112e-05,2017-07-14 02:30:00,8.124e-05,8.043e-05,8.063e-05,132223.014323,10.68705159,8.082e-05
8.137e-05,2017-07-14 02:35:00,8.156e-05,8.11e-05,8.112e-05,128397.145683,10.44742106,8.136e-05
8.073e-05,2017-07-14 02:40:00,8.128e-05,8.025e-05,8.127e-05,259954.031063,20.96786441,8.065e-05
8.043e-05,2017-07-14 02:45:00,8.086e-05,8.019e-05,8.029e-05,152886.433701,12.28765448,8.037e-05
8.041e-05,2017-07-14 02:50:00,8.095e-05,8.024e-05,8.047e-05,154467.666177,12.40324489,8.029e-05
8.028e-05,2017-07-14 02:55:00,8.055e-05,8.023e-05,8.049e-05,56257.9139343,4.51740117,8.029e-05
8.063e-05,2017-07-14 03:00:00,8.063e-05,8.028e-05,8.028e-05,42487.6867207,3.42103986,8.051e-05
8.111e-05,2017-07-14 03:05:00,8.118e-05,8.064e-05,8.064e-05,196394.835026,15.90323011,8.097e-05
8.106e-05,2017-07-14 03:10:00,8.12e-05,8.064e-05,8.108e-05,84036.7564214,6.81348344,8.107e-05
8.065e-05,2017-07-14 03:15:00,8.12e-05,8.057e-05,8.116e-05,116699.692625,9.44754935,8.095e-05
8.063e-05,2017-07-14 03:20:00,8.066e-05,8.054e-05,8.062e-05,152066.995024,12.25778664,8.06e-05
8.053e-05,2017-07-14 03:25:00,8.067e-05,8.048e-05,8.061e-05,66287.9960377,5.34185206,8.058e-05
8.08e-05,2017-07-14 03:30:00,8.08e-05,8.04e-05,8.052e-05,117973.21781,9.50672752,8.058e-05
8.085e-05,2017-07-14 03:35:00,8.088e-05,8.068e-05,8.069e-05,13340.5317088,1.07760676,8.077e-05
8.09e-05,2017-07-14 03:40:00,8.107e-05,8.081e-05,8.085e-05,37338.6511513,3.02072342,8.09e-05
8.089e-05,2017-07-14 03:45:00,8.12e-05,8.009e-05,8.092e-05,833109.25895,67.23575856,8.07e-05
8.082e-05,2017-07-14 03:50:00,8.1e-05,8.073e-05,8.077e-05,109530.251761,8.86546872,8.094e-05
8.063e-05,2017-07-14 03:55:00,8.088e-05,8.063e-05,8.084e-05,99145.420595,8.00621084,8.075e-05
8.058e-05,2017-07-14 04:00:00,8.073e-05,8.058e-05,8.063e-05,48997.5772822,3.95189903,8.065e-05
8.08e-05,2017-07-14 04:05:00,8.099e-05,8.059e-05,8.079e-05,18306.3634879,1.47926288,8.08e-05
8.095e-05,2017-07-14 04:10:00,8.098e-05,8.07e-05,8.08e-05,47081.4479235,3.80814505,8.088e-05
8.07e-05,2017-07-14 04:15:00,8.095e-05,8.051e-05,8.087e-05,31636.7004069,2.55019321,8.06e-05
8.119e-05,2017-07-14 04:20:00,8.119e-05,8.07e-05,8.07e-05,275630.216118,22.33869248,8.104e-05
8.096e-05,2017-07-14 04:25:00,8.12e-05,8.096e-05,8.1e-05,128805.537432,10.45226738,8.114e-05
8.082e-05,2017-07-14 04:30:00,8.114e-05,8.05e-05,8.114e-05,145425.681615,11.75874183,8.085e-05
8.118e-05,2017-07-14 04:35:00,8.12e-05,8.059e-05,8.098e-05,125973.723926,10.21517067,8.108e-05
8.1e-05,2017-07-14 04:40:00,8.12e-05,8.081e-05,8.11e-05,191156.204022,15.51473945,8.116e-05
8.148e-05,2017-07-14 04:45:00,8.149e-05,8.09e-05,8.099e-05,163837.791414,13.30086642,8.118e-05
8.14e-05,2017-07-14 04:50:00,8.16e-05,8.13e-05,8.148e-05,27648.0057626,2.2527304,8.147e-05
8.196e-05,2017-07-14 04:55:00,8.196e-05,8.124e-05,8.148e-05,193954.276271,15.84658058,8.17e-05
8.216e-05,2017-07-14 05:00:00,8.23e-05,8.127e-05,8.196e-05,787628.134903,64.59359954,8.201e-05
8.207e-05,2017-07-14 05:05:00,8.23e-05,8.199e-05,8.216e-05,150027.002638,12.31763285,8.21e-05
8.182e-05,2017-07-14 05:10:00,8.223e-05,8.175e-05,8.206e-05,125828.587761,10.32237866,8.203e-05
8.155e-05,2017-07-14 05:15:00,8.206e-05,8.155e-05,8.201e-05,19489.0837406,1.59318565,8.174e-05
8.143e-05,2017-07-14 05:20:00,8.193e-05,8.143e-05,8.165e-05,116464.582357,9.50821311,8.164e-05
8.129e-05,2017-07-14 05:25:00,8.147e-05,8.127e-05,8.142e-05,70531.9361178,5.73760826,8.134e-05
8.118e-05,2017-07-14 05:30:00,8.147e-05,8.116e-05,8.138e-05,81363.439514,6.62296129,8.139e-05
8.14e-05,2017-07-14 05:35:00,8.14e-05,8.116e-05,8.12e-05,46083.8658382,3.74527544,8.127e-05
8.138e-05,2017-07-14 05:40:00,8.14e-05,8.126e-05,8.126e-05,13204.6343742,1.07447705,8.137e-05
8.156e-05,2017-07-14 05:45:00,8.157e-05,8.137e-05,8.139e-05,81331.0725104,6.62371346,8.144e-05
8.174e-05,2017-07-14 05:50:00,8.175e-05,8.156e-05,8.156e-05,39651.1866067,3.23856131,8.167e-05
8.169e-05,2017-07-14 05:55:00,8.175e-05,8.115e-05,8.173e-05,70507.4915488,5.73967395,8.14e-05
8.169e-05,2017-07-14 06:00:00,8.172e-05,8.151e-05,8.161e-05,10645.6256766,0.86930613,8.165e-05
8.156e-05,2017-07-14 06:05:00,8.17e-05,8.155e-05,8.167e-05,4589.21916195,0.37449359,8.16e-05
8.159e-05,2017-07-14 06:10:00,8.169e-05,8.15e-05,8.16e-05,67388.6099261,5.49961494,8.161e-05
8.155e-05,2017-07-14 06:15:00,8.17e-05,8.147e-05,8.163e-05,20732.0164816,1.69186633,8.16e-05
8.138e-05,2017-07-14 06:20:00,8.169e-05,8.138e-05,8.166e-05,42565.1329842,3.47154654,8.155e-05
