close,date,high,low,open,quoteVolume,volume,weightedAverage
9.55e-05,2017-07-04 00:00:00,9.56e-05,9.531e-05,9.559e-05,62274.5785148,5.94196785,9.541e-05
9.668e-05,2017-07-04 00:05:00,9.668e-05,9.552e-05,9.552e-05,97774.1215458,9.40377133,9.617e-05
9.684e-05,2017-07-04 00:10:00,9.694e-05,9.653e-05,9.653e-05,81172.5765543,7.85253334,9.673e-05
9.656e-05,2017-07-04 00:15:00,9.691e-05,9.656e-05,9.69e-05,22250.8518881,2.1543579,9.682e-05
9.64e-05,2017-07-04 00:20:00,9.656e-05,9.61e-05,9.656e-05,14960.525596,1.44262597,9.642e-05
9.637e-05,2017-07-04 00:25:00,9.64e-05,9.61e-05,9.61e-05,44526.6653729,4.29038781,9.635e-05
9.722e-05,2017-07-04 00:30:00,9.722e-05,9.637e-05,9.637e-05,128390.898549,12.4227967,9.675e-05
9.855e-05,2017-07-04 00:35:00,9.94e-05,9.69e-05,9.7e-05,399330.765679,39.31955825,9.846e-05
9.799e-05,2017-07-04 00:40:00,9.95e-05,9.784e-05,9.856e-05,191952.677899,18.99642158,9.896e-05
9.806e-05,2017-07-04 00:45:00,9.87e-05,9.756e-05,9.799e-05,237425.012247,23.2882671,9.808e-05
9.847e-05,2017-07-04 00:50:00,9.848e-05,9.764e-05,9.806e-05,56860.3057998,5.58084495,9.815e-05
9.779e-05,2017-07-04 00:55:00,9.848e-05,9.724e-05,9.848e-05,149011.886816,14.57790406,9.783e-05
9.76e-05,2017-07-04 01:00:00,9.87e-05,9.738e-05,9.779e-05,403345.165721,39.70777059,9.844e-05
9.78e-05,2017-07-04 01:05:00,9.804e-05,9.761e-05,9.761e-05,43585.9765302,4.26429977,9.783e-05
9.868e-05,2017-07-04 01:10:00,9.868e-05,9.771e-05,9.772e-05,182581.556385,17.99506016,9.855e-05
9.809e-05,2017-07-04 01:15:00,9.87e-05,9.78e-05,9.869e-05,159223.566095,15.61549358,9.807e-05
9.782e-05,2017-07-04 01:20:00,9.809e-05,9.78e-05,9.788e-05,240432.03472,23.5249016,9.784e-05
9.78e-05,2017-07-04 01:25:00,9.809e-05,9.728e-05,9.785e-05,43819.003235,4.28883054,9.787e-05
9.614e-05,2017-07-04 01:30:00,9.78e-05,9.6e-05,9.754e-05,312119.404126,30.14520584,9.658e-05
9.625e-05,2017-07-04 01:35:00,9.69e-05,9.6e-05,9.614e-05,152829.811943,14.73161064,9.639e-05
9.637e-05,2017-07-04 01:40:00,9.671e-05,9.626e-05,9.626e-05,26391.8290623,2.54937114,9.659e-05
9.63e-05,2017-07-04 01:45:00,9.674e-05,9.606e-05,9.646e-05,50648.9867725,4.88156278,9.638e-05
9.665e-05,2017-07-04 01:50:00,9.665e-05,9.611e-05,9.63e-05,60297.2174295,5.82000459,9.652e-05
9.671e-05,2017-07-04 01:55:00,9.687e-05,9.665e-05,9.667e-05,26572.4219884,2.56925897,9.668e-05
9.687e-05,2017-07-04 02:00:00,9.687e-05,9.665e-05,9.666e-05,21092.1079155,2.03944932,9.669e-05
9.7e-05,2017-07-04 02:05:00,9.727e-05,9.667e-05,9.667e-05,24751.2662653,2.39819761,9.689e-05
9.692e-05,2017-07-04 02:10:00,9.752e-05,9.689e-05,9.7e-05,45798.4227731,4.45345433,9.724e-05
9.752e-05,2017-07-04 02:15:00,9.752e-05,9.666e-05,9.693e-05,17751.1328001,1.72065529,9.693e-05
9.8e-05,2017-07-04 02:20:00,9.897e-05,9.697e-05,9.752e-05,651617.203645,64.07600829,9.833e-05
9.807e-05,2017-07-04 02:25:00,9.83e-05,9.724e-05,9.8e-05,79326.9373975,7.7772182,9.804e-05
9.84e-05,2017-07-04 02:30:00,9.897e-05,9.801e-05,9.818e-05,131393.888191,12.95467492,9.859e-05
9.883e-05,2017-07-04 02:35:00,9.89e-05,9.802e-05,9.837e-05,158823.956476,15.66052285,9.86e-05
9.984e-05,2017-07-04 02:40:00,9.984e-05,9.859e-05,9.88e-05,450403.588253,44.78474922,9.943e-05
9.8e-05,2017-07-04 02:45:00,9.984e-05,9.65e-05,9.984e-05,664454.997108,64.98612883,9.78e-05
9.73e-05,2017-07-04 02:50:00,9.824e-05,9.703e-05,9.799e-05,151522.275954,14.79489275,9.764e-05
9.75e-05,2017-07-04 02:55:00,9.789e-05,9.717e-05,9.784e-05,25968.3002749,2.52954159,9.74e-05
9.788e-05,2017-07-04 03:00:00,9.789e-05,9.7e-05,9.779e-05,118063.203388,11.52223645,9.759e-05
9.864e-05,2017-07-04 03:05:00,9.864e-05,9.755e-05,9.755e-05,82241.101372,8.05512878,9.794e-05
9.977e-05,2017-07-04 03:10:00,9.978e-05,9.852e-05,9.864e-05,263750.260423,26.17051536,9.922e-05
9.975e-05,2017-07-04 03:15:00,9.982e-05,9.827e-05,9.977e-05,425944.600004,42.38992531,9.951e-05
9.987e-05,2017-07-04 03:20:00,9.987e-05,9.882e-05,9.972e-05,226693.393104,22.59340973,9.966e-05
9.851e-05,2017-07-04 03:25:00,9.985e-05,9.823e-05,9.892e-05,150356.156346,14.85312658,9.878e-05
