close,date,high,low,open,quoteVolume,volume,weightedAverage
3.837e-05,2017-06-08 00:00:00,3.84e-05,3.814e-05,3.84e-05,553202.670987,21.2144293,3.834e-05
3.852e-05,2017-06-08 00:05:00,3.852e-05,3.829e-05,3.837e-05,184882.883942,7.11097453,3.846e-05
3.849e-05,2017-06-08 00:10:00,3.852e-05,3.849e-05,3.849e-05,48428.2472945,1.86455768,3.85e-05
3.825e-05,2017-06-08 00:15:00,3.852e-05,3.825e-05,3.849e-05,27583.3456321,1.06187452,3.849e-05
3.816e-05,2017-06-08 00:20:00,3.852e-05,3.816e-05,3.84e-05,185007.044089,7.08331369,3.828e-05
3.81e-05,2017-06-08 00:25:00,3.828e-05,3.8e-05,3.828e-05,66925.7834752,2.54620544,3.804e-05
3.739e-05,2017-06-08 00:30:00,3.81e-05,3.739e-05,3.81e-05,216113.342792,8.13286185,3.763e-05
3.739e-05,2017-06-08 00:35:00,3.739e-05,3.711e-05,3.739e-05,283669.958595,10.55557183,3.721e-05
3.765e-05,2017-06-08 00:40:00,3.782e-05,3.739e-05,3.739e-05,191339.564743,7.18433214,3.754e-05
3.76e-05,2017-06-08 00:45:00,3.762e-05,3.717e-05,3.754e-05,251662.351489,9.40803966,3.738e-05
3.766e-05,2017-06-08 00:50:00,3.779e-05,3.708e-05,3.76e-05,695037.056558,26.03442516,3.745e-05
3.84e-05,2017-06-08 00:55:00,3.84e-05,3.777e-05,3.777e-05,117291.126523,4.46964222,3.81e-05
3.877e-05,2017-06-08 01:00:00,3.877e-05,3.808e-05,3.838e-05,465195.135005,17.94738641,3.858e-05
3.9e-05,2017-06-08 01:05:00,3.901e-05,3.845e-05,3.877e-05,171036.076413,6.64852222,3.887e-05
3.911e-05,2017-06-08 01:10:00,3.912e-05,3.846e-05,3.871e-05,159652.980697,6.21907769,3.895e-05
3.931e-05,2017-06-08 01:15:00,3.932e-05,3.887e-05,3.911e-05,108765.772059,4.26157956,3.918e-05
