close,date,high,low,open,quoteVolume,volume,weightedAverage
0.00018317,2017-06-12 00:00:00,0.00018469,0.0001831,0.00018466,4225.90324837,0.77974416,0.00018451
0.00018458,2017-06-12 00:05:00,0.00018459,0.00018317,0.00018439,1146.07494482,0.21142794,0.00018448
0.0001846,2017-06-12 00:10:00,0.0001846,0.00018457,0.00018458,14634.8829345,2.70151058,0.00018459
0.00018456,2017-06-12 00:15:00,0.0001846,0.00018246,0.00018459,64048.9331097,11.78244119,0.00018395
0.00018279,2017-06-12 00:20:00,0.00018455,0.00018279,0.00018455,362.47200385,0.06678688,0.00018425
0.00018349,2017-06-12 00:25:00,0.00018437,0.00018348,0.00018437,1593.77180171,0.29307832,0.00018388
0.00018459,2017-06-12 00:30:00,0.00018459,0.00018348,0.00018349,7588.44718186,1.39357513,0.00018364
0.00018356,2017-06-12 00:35:00,0.00018356,0.00018349,0.00018356,7776.81346251,1.42737668,0.00018354
0.00018395,2017-06-12 00:40:00,0.00018396,0.0001835,0.00018355,5108.34372999,0.93891848,0.0001838
0.00018351,2017-06-12 00:45:00,0.00018394,0.0001835,0.00018354,5196.84230205,0.95393061,0.00018355
0.00018457,2017-06-12 00:50:00,0.00018457,0.0001835,0.0001835,5696.30952804,1.04540629,0.00018352
0.00018458,2017-06-12 00:55:00,0.00018459,0.00018351,0.00018351,2696.28389571,0.49764759,0.00018456
0.00018455,2017-06-12 01:00:00,0.00018458,0.00018455,0.00018456,831.70407977,0.15349559,0.00018455
0.00018456,2017-06-12 01:05:00,0.00018457,0.00018455,0.00018455,684.92343991,0.12640734,0.00018455
0.00018456,2017-06-12 01:10:00,0.00018458,0.00018455,0.00018458,4568.77155054,0.84320818,0.00018455
0.00018455,2017-06-12 01:15:00,0.00018456,0.00018454,0.00018456,1138.771919,0.21016046,0.00018455
0.0001842,2017-06-12 01:20:00,0.00018455,0.00018243,0.00018455,106040.149034,19.37931683,0.00018275
0.0001825,2017-06-12 01:25:00,0.00018401,0.0001825,0.00018401,2664.67364549,0.48852,0.00018333
0.00018396,2017-06-12 01:30:00,0.00018399,0.00018244,0.00018255,5260.99412127,0.96024173,0.00018252
0.00018397,2017-06-12 01:35:00,0.00018397,0.00018396,0.00018396,1612.90706426,0.29671232,0.00018396
0.00018427,2017-06-12 01:40:00,0.0001843,0.000182,0.00018397,25093.8892959,4.59020742,0.00018292
0.00018412,2017-06-12 01:45:00,0.00018428,0.00018111,0.00018428,15971.3513742,2.9030674,0.00018176
0.00018212,2017-06-12 01:50:00,0.00018413,0.0001821,0.00018412,21102.1219573,3.86298603,0.00018306
0.00018289,2017-06-12 01:55:00,0.00018296,0.00018213,0.00018214,951.08773746,0.17394817,0.00018289
0.000183,2017-06-12 02:00:00,0.000183,0.00018288,0.00018289,30123.9423209,5.51236788,0.00018298
0.0001845,2017-06-12 02:05:00,0.00018458,0.00018364,0.00018364,4714.30299083,0.8699311,0.00018453
0.0001846,2017-06-12 02:10:00,0.0001846,0.00018458,0.00018458,7645.12583886,1.41126905,0.00018459
0.0001845,2017-06-12 02:15:00,0.00018459,0.0001845,0.00018459,12761.1655324,2.35493558,0.00018453
0.00018455,2017-06-12 02:20:00,0.00018455,0.0001845,0.0001845,0.10216798,1.884e-05,0.0001845
0.00018329,2017-06-12 02:25:00,0.00018457,0.00018329,0.00018456,7270.53798978,1.33556174,0.00018369
0.00018343,2017-06-12 02:30:00,0.00018343,0.00018329,0.0001833,3487.7794307,0.63946076,0.00018334
0.0001846,2017-06-12 02:35:00,0.0001846,0.00018421,0.00018421,2146.00538891,0.39607708,0.00018456
0.00018384,2017-06-12 02:40:00,0.0001846,0.00018348,0.00018348,3907.87742374,0.72133991,0.00018458
0.00018384,2017-06-12 02:45:00,0.00018449,0.0001838,0.0001838,3345.88514733,0.61510321,0.00018383
0.00018386,2017-06-12 02:50:00,0.00018449,0.00018386,0.00018448,2167.27541959,0.39975706,0.00018445
0.00018399,2017-06-12 02:55:00,0.00018439,0.00018387,0.00018439,5038.35187493,0.9270215,0.00018399
0.00018399,2017-06-12 03:00:00,0.00018399,0.0001833,0.00018387,4963.2261868,0.91146538,0.00018364
0.00018397,2017-06-12 03:05:00,0.00018399,0.0001833,0.00018399,2514.45711147,0.46178852,0.00018365
0.00018389,2017-06-12 03:10:00,0.00018389,0.00018389,0.00018389,0.67192343,0.00012355,0.00018389
0.00018296,2017-06-12 03:15:00,0.00018387,0.00018293,0.00018387,20651.3444303,3.78627601,0.00018334
0.00018245,2017-06-12 03:20:00,0.00018394,0.000181,0.00018294,102596.148008,18.5880889,0.00018117
0.00018254,2017-06-12 03:25:00,0.00018254,0.00018251,0.00018251,336.0397388,0.0613373,0.00018252
0.00018258,2017-06-12 03:30:00,0.00018258,0.00018251,0.00018253,3727.31922413,0.68032191,0.00018252
0.00018414,2017-06-12 03:35:00,0.00018419,0.00018256,0.00018256,1242.05124065,0.228405,0.00018389
0.00018418,2017-06-12 03:40:00,0.00018418,0.0001826,0.00018411,12394.7137166,2.27959962,0.00018391
0.00018417,2017-06-12 03:45:00,0.00018419,0.00018417,0.00018418,2201.62381741,0.40550139,0.00018418
0.0001826,2017-06-12 03:50:00,0.0001842,0.0001826,0.00018417,13209.4305704,2.43120586,0.00018405
0.00018415,2017-06-12 03:55:00,0.00018415,0.00018259,0.00018259,3280.5852886,0.60345439,0.00018394
0.00018411,2017-06-12 04:00:00,0.00018415,0.00018273,0.00018415,774.97941843,0.14268073,0.0001841
0.00018285,2017-06-12 04:05:00,0.00018415,0.00018285,0.00018411,384.84416736,0.07084146,0.00018407
0.00018399,2017-06-12 04:10:00,0.00018469,0.00018286,0.00018412,17013.976772,3.13715845,0.00018438
0.00018381,2017-06-12 04:15:00,0.000184,0.00018343,0.00018343,3120.11792088,0.5739137,0.00018393
0.00018382,2017-06-12 04:20:00,0.00018468,0.00018382,0.00018382,2748.73105784,0.50568039,0.00018396
0.000184,2017-06-12 04:25:00,0.000184,0.00018382,0.000184,1843.40865744,0.33903641,0.00018391
0.0001845,2017-06-12 04:30:00,0.00018466,0.00018399,0.00018399,811.99741162,0.14980792,0.00018449
0.00018447,2017-06-12 04:35:00,0.00018447,0.0001842,0.00018442,223.1375937,0.04111954,0.00018427
0.00018383,2017-06-12 04:40:00,0.00018446,0.00018383,0.00018446,6370.55766642,1.17222319,0.000184
0.00018381,2017-06-12 04:45:00,0.00018383,0.00018381,0.00018383,3537.34655106,0.65024775,0.00018382
0.00018312,2017-06-12 04:50:00,0.00018449,0.00018312,0.00018383,2642.31803348,0.4852055,0.00018362
0.00018287,2017-06-12 04:55:00,0.0001845,0.00018287,0.0001838,7258.1316583,1.33061655,0.00018332
0.00018565,2017-06-12 05:00:00,0.0001859,0.0001838,0.0001838,18994.690531,3.52130107,0.00018538
0.00018413,2017-06-12 05:05:00,0.00018566,0.00018412,0.00018565,4697.81268599,0.86956651,0.0001851
0.00018471,2017-06-12 05:10:00,0.0001856,0.00018382,0.00018413,18947.4717585,3.49934633,0.00018468
0.0001869,2017-06-12 05:15:00,0.0001869,0.00018416,0.00018417,10183.1385825,1.89651623,0.00018624
0.0001856,2017-06-12 05:20:00,0.00018695,0.00018557,0.0001869,5835.30022847,1.08386539,0.00018574
0.00018562,2017-06-12 05:25:00,0.0001867,0.00018562,0.00018669,172.69449606,0.03221645,0.00018655
0.0001857,2017-06-12 05:30:00,0.000187,0.00018562,0.000186,5974.69087635,1.11516479,0.00018664
